filename,Diameter,Pitch,RPM min,RPM max,Blades,Extension,RPM,Power,Thrust
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,10000,6.851,0.686
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,13000,14.763,1.162
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,16000,27.177,1.765
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,19000,45.134,2.495
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,22000,69.706,3.354
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,25000,102.009,4.344
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,28000,143.213,5.467
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,31000,194.563,6.725
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,34000,257.386,8.123
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,37000,333.133,9.662
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,40000,423.415,11.346
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,41000,457.039,11.941
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,10000,12.696,1.095
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,13000,27.452,1.855
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,16000,50.662,2.817
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,19000,84.285,3.983
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,22000,130.341,5.354
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,25000,190.923,6.933
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,28000,268.219,8.724
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,31000,364.532,10.73
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,34000,482.313,12.955
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,37000,624.2,15.404
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,40000,793.094,18.082
