filename,Diameter,Pitch,RPM min,RPM max,Blades,Extension,RPM,Power,Torque,Thrust
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,10000,6.851,0.007,0.686
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,13000,14.763,0.011,1.162
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,16000,27.177,0.016,1.765
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,19000,45.134,0.023,2.495
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,22000,69.706,0.03,3.354
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,25000,102.009,0.039,4.344
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,28000,143.213,0.049,5.467
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,31000,194.563,0.06,6.725
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,34000,257.386,0.072,8.123
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,37000,333.133,0.086,9.662
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,40000,423.415,0.101,11.346
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,41000,457.039,0.106,11.941
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,10000,12.696,0.012,1.095
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,13000,27.452,0.02,1.855
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,16000,50.662,0.03,2.817
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,19000,84.285,0.042,3.983
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,22000,130.341,0.057,5.354
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,25000,190.923,0.073,6.933
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,28000,268.219,0.091,8.724
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,31000,364.532,0.112,10.73
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,34000,482.313,0.135,12.955
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,37000,624.2,0.161,15.404
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,40000,793.094,0.189,18.082
