filename,Diameter,Pitch,RPM min,RPM max,Blades,Extension,RPM,Power,Torque,Thrust
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,10000,6.851,0.007,0.686
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,11000,9.051,0.008,0.831
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,12000,11.676,0.009,0.99
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,13000,14.763,0.011,1.162
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,14000,18.35,0.013,1.349
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,15000,22.475,0.014,1.55
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,16000,27.177,0.016,1.765
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,17000,32.495,0.018,1.994
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,18000,38.468,0.02,2.237
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,19000,45.134,0.023,2.495
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,20000,52.536,0.025,2.767
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,21000,60.713,0.028,3.053
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,22000,69.706,0.03,3.354
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,23000,79.558,0.033,3.669
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,24000,90.311,0.036,3.999
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,25000,102.009,0.039,4.344
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,26000,114.695,0.042,4.703
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,27000,128.414,0.045,5.078
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,28000,143.213,0.049,5.467
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,29000,159.139,0.052,5.871
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,30000,176.239,0.056,6.291
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,31000,194.563,0.06,6.725
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,32000,214.16,0.064,7.176
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,33000,235.083,0.068,7.641
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,34000,257.386,0.072,8.123
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,35000,281.123,0.077,8.62
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,36000,306.351,0.081,9.133
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,37000,333.133,0.086,9.662
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,38000,361.529,0.091,10.207
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,39000,391.602,0.096,10.768
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,40000,423.415,0.101,11.346
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E,41000,457.039,0.106,11.941
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,10000,12.696,0.012,1.095
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,11000,16.794,0.015,1.326
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,12000,21.69,0.017,1.58
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,13000,27.452,0.02,1.855
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,14000,34.154,0.023,2.154
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,15000,41.866,0.027,2.474
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,16000,50.662,0.03,2.817
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,17000,60.614,0.034,3.183
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,18000,71.797,0.038,3.572
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,19000,84.285,0.042,3.983
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,20000,98.154,0.047,4.417
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,21000,113.48,0.052,4.874
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,22000,130.341,0.057,5.354
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,23000,148.815,0.062,5.857
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,24000,168.982,0.067,6.383
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,25000,190.923,0.073,6.933
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,26000,214.72,0.079,7.507
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,27000,240.457,0.085,8.103
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,28000,268.219,0.091,8.724
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,29000,298.092,0.098,9.369
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,30000,330.166,0.105,10.037
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,31000,364.532,0.112,10.73
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,32000,401.281,0.12,11.447
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,33000,440.508,0.127,12.189
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,34000,482.313,0.135,12.955
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,35000,526.793,0.144,13.746
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,36000,574.053,0.152,14.563
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,37000,624.2,0.161,15.404
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,38000,677.344,0.17,16.271
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,39000,733.602,0.18,17.164
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E,40000,793.094,0.189,18.082
PER3_5x3E.dat,5.0,3.0,1000,41000,2,E,10000,9.032,0.009,0.984
PER3_5x3E.dat,5.0,3.0,1000,41000,2,E,11000,11.895,0.01,1.192
PER3_5x3E.dat,5.0,3.0,1000,41000,2,E,12000,15.305,0.012,1.421
PER3_5x3E.dat,5.0,3.0,1000,41000,2,E,13000,19.309,0.014,1.67
PER3_5x3E.dat,5.0,3.0,1000,41000,2,E,14000,23.958,0.016,1.94
PER3_5x3E.dat,5.0,3.0,1000,41000,2,E,15000,29.302,0.019,2.23
PER3_5x3E.dat,5.0,3.0,1000,41000,2,E,16000,35.391,0.021,2.541
PER3_5x3E.dat,5.0,3.0,1000,41000,2,E,17000,42.278,0.024,2.874
PER3_5x3E.dat,5.0,3.0,1000,41000,2,E,18000,50.016,0.027,3.228
PER3_5x3E.dat,5.0,3.0,1000,41000,2,E,19000,58.66,0.029,3.603
PER3_5x3E.dat,5.0,3.0,1000,41000,2,E,20000,68.267,0.033,4.0
PER3_5x3E.dat,5.0,3.0,1000,41000,2,E,21000,78.893,0.036,4.419
PER3_5x3E.dat,5.0,3.0,1000,41000,2,E,22000,90.599,0.039,4.861
PER3_5x3E.dat,5.0,3.0,1000,41000,2,E,23000,103.446,0.043,5.325
PER3_5x3E.dat,5.0,3.0,1000,41000,2,E,24000,117.498,0.047,5.812
PER3_5x3E.dat,5.0,3.0,1000,41000,2,E,25000,132.822,0.051,6.322
PER3_5x3E.dat,5.0,3.0,1000,41000,2,E,26000,149.486,0.055,6.856
PER3_5x3E.dat,5.0,3.0,1000,41000,2,E,27000,167.562,0.059,7.414
PER3_5x3E.dat,5.0,3.0,1000,41000,2,E,28000,187.126,0.064,7.997
PER3_5x3E.dat,5.0,3.0,1000,41000,2,E,29000,208.258,0.069,8.604
PER3_5x3E.dat,5.0,3.0,1000,41000,2,E,30000,231.04,0.074,9.237
PER3_5x3E.dat,5.0,3.0,1000,41000,2,E,31000,255.562,0.079,9.896
PER3_5x3E.dat,5.0,3.0,1000,41000,2,E,32000,281.919,0.084,10.581
PER3_5x3E.dat,5.0,3.0,1000,41000,2,E,33000,310.212,0.09,11.293
PER3_5x3E.dat,5.0,3.0,1000,41000,2,E,34000,340.555,0.096,12.033
