filename,Diameter,Pitch,RPM min,RPM max,Blades,Extension
PER3_4x33E.dat,4.0,3.3,1000,41000,2,E
PER3_4x4E-3.dat,4.0,4.0,1000,41000,3,E
PER3_4x45E.dat,4.0,4.5,1000,33000,2,E
PER3_41x41E.dat,4.1,4.1,1000,45000,2,E
PER3_42x2.dat,4.2,2.0,1000,45000,2,[-]
PER3_42x4.dat,4.2,4.0,1000,45000,2,[-]
PER3_44x4.dat,4.4,4.0,1000,42000,2,[-]
PER3_45x35.dat,4.5,3.5,1000,43000,2,[-]
PER3_45x4.dat,4.5,4.0,1000,42000,2,[-]
PER3_45x41E.dat,4.5,4.1,1000,42000,2,E
PER3_46x3.dat,4.6,3.0,1000,45000,2,[-]
PER3_47x42E.dat,4.7,4.2,1000,41000,2,E
PER3_475x4.dat,4.75,4.0,1000,40000,2,[-]
PER3_475x45E.dat,4.75,4.5,1000,41000,2,E
PER3_475x475E.dat,4.75,4.75,1000,42000,2,E
PER3_475x55E.dat,4.75,5.5,1000,41000,2,E
PER3_5x3.dat,5.0,3.0,1000,45000,2,[-]
PER3_5x3E.dat,5.0,3.0,1000,41000,2,E
PER3_5x37E-3.dat,5.0,3.7,1000,40000,3,E
PER3_5x4E-3.dat,5.0,4.0,1000,36000,3,E
PER3_5x4E-4.dat,5.0,4.0,1000,37000,4,E
PER3_5x4R-RH.dat,5.0,4.0,1000,23000,2,R-RH
PER3_5x41SF.dat,5.0,4.1,1000,37000,2,SF
PER3_5x43E.dat,5.0,4.3,1000,37000,2,E
PER3_5x45E.dat,5.0,4.5,1000,38000,2,E
PER3_5x46E.dat,5.0,4.6,1000,30000,2,E
PER3_5x5E.dat,5.0,5.0,1000,38000,2,E
PER3_5x5F.dat,5.0,5.0,1000,38000,2,F
PER3_5x75E.dat,5.0,7.5,1000,36000,2,E
PER3_5x11E.dat,5.0,11.0,1000,36000,2,E
PER3_51x45E.dat,5.1,4.5,1000,32000,2,E
PER3_51x50E-3.dat,5.1,5.0,1000,38000,3,E
PER3_51x50E.dat,5.1,5.0,1000,35000,2,E
PER3_52x60E.dat,5.2,6.0,1000,33000,2,E
PER3_525x475E.dat,5.25,4.75,1000,35000,2,E
PER3_525x55E.dat,5.25,5.5,1000,36000,2,E
PER3_525x625E.dat,5.25,6.25,1000,35000,2,E
PER3_525x8E.dat,5.25,8.0,1000,34000,2,E
PER3_53x59E.dat,5.3,5.9,1000,38000,2,E
PER3_55x2.dat,5.5,2.0,1000,40000,2,[-]
PER3_55x25.dat,5.5,2.5,1000,39000,2,[-]
PER3_55x45E.dat,5.5,4.5,1000,35000,2,E
PER3_55x47E.dat,5.5,4.7,1000,35000,2,E
PER3_55x65E.dat,5.5,6.5,1000,33000,2,E
PER3_55x70.dat,5.5,7.0,1000,41000,2,[-]
PER3_57x3.dat,5.7,3.0,1000,42000,2,[-]
PER3_6x2.dat,6.0,2.0,1000,41000,2,[-]
PER3_6x3.dat,6.0,3.0,1000,40000,2,[-]
PER3_6x3F.dat,6.0,3.0,1000,38000,2,F
PER3_6x3R-RH.dat,6.0,3.0,1000,35000,2,R-RH
PER3_6x31SF.dat,6.0,3.1,1000,34000,2,SF
PER3_6x4.dat,6.0,4.0,1000,37000,2,[-]
PER3_6x4E.dat,6.0,4.0,1000,33000,2,E
PER3_6x41SF.dat,6.0,4.1,1000,32000,2,SF
PER3_6x42E-3.dat,6.0,4.2,1000,40000,3,E
PER3_6x45E.dat,6.0,4.5,1000,27000,2,E
PER3_6x5.dat,6.0,5.0,1000,33000,2,[-]
PER3_6x55E.dat,6.0,5.5,1000,32000,2,E
PER3_6x6E.dat,6.0,6.0,1000,32000,2,E
PER3_63x4.dat,6.3,4.0,1000,35000,2,[-]
PER3_65x29.dat,6.5,2.9,1000,37000,2,[-]
PER3_65x37.dat,6.5,3.7,1000,36000,2,[-]
PER3_65x50.dat,6.5,5.0,1000,31000,2,[-]
PER3_65x55.dat,6.5,5.5,1000,31000,2,[-]
PER3_65x60.dat,6.5,6.0,1000,31000,2,[-]
PER3_65x65.dat,6.5,6.5,1000,31000,2,[-]
PER3_65x70.dat,6.5,7.0,1000,30000,2,[-]
PER3_65x75.dat,6.5,7.5,1000,30000,2,[-]
PER3_7x3.dat,7.0,3.0,1000,32000,2,[-]
PER3_7x38WSF.dat,7.0,3.8,1000,32000,2,WSF
PER3_7x4.dat,7.0,4.0,1000,30000,2,[-]
PER3_7x4E.dat,7.0,4.0,1000,29000,2,E
PER3_7x4F.dat,7.0,4.0,1000,34000,2,F
PER3_7x4SF.dat,7.0,4.0,1000,32000,2,SF
PER3_7x41SF.dat,7.0,4.1,1000,27000,2,SF
PER3_7x5.dat,7.0,5.0,1000,29000,2,[-]
PER3_7x5E.dat,7.0,5.0,1000,28000,2,E
PER3_7x5SF.dat,7.0,5.0,1000,31000,2,SF
PER3_7x6.dat,7.0,6.0,1000,29000,2,[-]
PER3_7x6E.dat,7.0,6.0,1000,27000,2,E
PER3_7x6F.dat,7.0,6.0,1000,30000,2,F
PER3_7x6SF.dat,7.0,6.0,1000,30000,2,SF
PER3_7x6W.dat,7.0,6.0,1000,33000,2,W
PER3_7x7.dat,7.0,7.0,1000,30000,2,[-]
PER3_7x7E.dat,7.0,7.0,1000,27000,2,E
PER3_7x8.dat,7.0,8.0,1000,31000,2,[-]
PER3_7x9.dat,7.0,9.0,1000,32000,2,[-]
PER3_7x9E.dat,7.0,9.0,1000,26000,2,E
PER3_7x10.dat,7.0,10.0,1000,28000,2,[-]
PER3_7x11E.dat,7.0,11.0,1000,26000,2,E
PER3_7x15E.dat,7.0,15.0,1000,27000,2,E
PER3_74x75C.dat,7.4,7.5,1000,32000,2,C
PER3_74x76C.dat,7.4,7.6,1000,32000,2,C
PER3_74x77C.dat,7.4,7.7,1000,32000,2,C
PER3_78x4.dat,7.8,4.0,1000,31000,2,[-]
PER3_78x6.dat,7.8,6.0,1000,26000,2,[-]
PER3_78x7.dat,7.8,7.0,1000,25000,2,[-]
PER3_8x37SFR-PC.dat,8.0,3.7,1000,31000,2,SFR
PER3_8x375.dat,8.0,3.75,1000,30000,2,[-]
PER3_8x38SF.dat,8.0,3.8,1000,29000,2,SF
PER3_8x4.dat,8.0,4.0,1000,26000,2,[-]
PER3_8x4E.dat,8.0,4.0,1000,26000,2,E
PER3_8x4F.dat,8.0,4.0,1000,26000,2,F
PER3_8x41SF.dat,8.0,4.1,1000,28000,2,SF
PER3_8x42SFR.dat,8.0,4.2,1000,31000,2,SFR
PER3_8x45MR.dat,8.0,4.5,1000,26000,2,MR
PER3_8x47SF.dat,8.0,4.7,1000,28000,2,SF
PER3_8x5.dat,8.0,5.0,1000,25000,2,[-]
PER3_8x6.dat,8.0,6.0,1000,25000,2,[-]
PER3_8x6E.dat,8.0,6.0,1000,25000,2,E
PER3_8x6SF.dat,8.0,6.0,1000,27000,2,SF
PER3_8x7.dat,8.0,7.0,1000,25000,2,[-]
PER3_8x73.dat,8.0,7.3,1000,29000,2,[-]
PER3_8x8.dat,8.0,8.0,1000,25000,2,[-]
PER3_8x8E.dat,8.0,8.0,1000,24000,2,E
PER3_8x9.dat,8.0,9.0,1000,28000,2,[-]
PER3_8x10.dat,8.0,10.0,1000,28000,2,[-]
PER3_8x10E.dat,8.0,10.0,1000,25000,2,E
PER3_8625x375.dat,8.625,3.75,1000,28000,2,[-]
PER3_875x50.dat,8.75,5.0,1000,24000,2,[-]
PER3_875x70N.dat,8.75,7.0,1000,23000,2,N
PER3_875x75N.dat,8.75,7.5,1000,23000,2,N
PER3_875x75NN.dat,8.75,7.5,1000,26000,2,NN
PER3_875x75W.dat,8.75,7.5,1000,23000,2,W
PER3_875x775NN.dat,8.75,7.75,1000,27000,2,NN
PER3_875x80NN.dat,8.75,8.0,1000,27000,2,NN
